Maladie,Description
Asthme bronchique,"Maladie inflammatoire chronique des voies aériennes provoquant des épisodes de sifflements, essoufflement, oppression thoracique et toux, déclenchés par allergènes, effort ou infections."
Hépatite alcoolique,"Inflammation du foie due à une consommation excessive d’alcool, pouvant évoluer vers cirrhose. Symptômes possibles : fatigue, douleur abdominale, nausées et jaunisse."
Ictère,"Coloration jaune de la peau et des yeux due à une augmentation de la bilirubine, signe possible de maladies du foie ou des voies biliaires."
Hépatite E,Hépatite virale généralement transmise par voie oro‑fécale (eau contaminée). Elle est souvent aiguë et peut être sévère chez la femme enceinte.
Dengue,"Infection virale transmise par les moustiques Aedes, donnant fièvre, douleurs musculaires et articulaires, éruption cutanée et, plus rarement, des formes graves hémorragiques."
Hépatite D,"Infection par le virus de l’hépatite D, qui survient seulement chez les personnes infectées par le VHB. Elle peut aggraver l’atteinte hépatique."
Infarctus du myocarde,"Mort d’une partie du muscle cardiaque par manque d’apport sanguin, le plus souvent à cause d’une obstruction d’une artère coronaire."
Pneumonie,"Infection d’un ou des deux poumons (bactéries, virus ou champignons) provoquant toux, fièvre, douleur thoracique et difficultés respiratoires ; les alvéoles se remplissent de liquide ou de pus."
Arthrite,"Inflammation d’une ou plusieurs articulations entraînant douleur, gonflement et raideur. Différents types existent (par ex. arthrite rhumatoïde, goutte)."
Gastro-entérite,"Inflammation de l’estomac et des intestins, souvent d’origine virale ou bactérienne, causant diarrhée, vomissements, crampes abdominales et parfois fièvre."
Tuberculose,"Maladie infectieuse due à Mycobacterium tuberculosis, atteignant surtout les poumons mais pouvant toucher d’autres organes. La plupart des infections sont latentes ; la forme active cause toux, fièvre et amaigrissement."
